기간	대분류	분류	종합	주거지역	서울도심(시내)
2014	서울시	서울시	6	6.12	5.88
2014	성별	남자	6	6.12	5.88
2014	성별	여자	6	6.12	5.89
2014	연령별	10대	6.13	6.26	6
2014	연령별	20대	5.97	6.09	5.85
2014	연령별	30대	5.95	6.05	5.84
2014	연령별	40대	6.02	6.14	5.9
2014	연령별	50대	6.01	6.17	5.84
2014	연령별	60대 이상	6.01	6.1	5.93
2014	학력별	중졸 이하	5.98	6.05	5.91
2014	학력별	고졸 이하	5.98	6.11	5.86
2014	학력별	대졸 이하	6.02	6.15	5.89
2014	학력별	대학원 이상	6.04	6.18	5.91
2014	소득별	100 만원 미만	5.96	6.08	5.85
2014	소득별	100-200만 미만	5.99	6.11	5.88
2014	소득별	200-300만 미만	5.96	6.11	5.82
2014	소득별	300-400만 미만	5.92	6.02	5.81
2014	소득별	400-500만 미만	6.01	6.11	5.91
2014	소득별	500만 이상	6.08	6.22	5.95
2014	혼인상태별	기혼	6	6.12	5.89
2014	혼인상태별	미혼	6.02	6.15	5.9
2014	혼인상태별	이혼/별거	5.97	6.13	5.81
2014	혼인상태별	사별	5.93	6.02	5.85
2014	지역대분류	도심권	5.98	6.04	5.91
2014	지역대분류	동북권	6.05	6.17	5.92
2014	지역대분류	서북권	5.71	5.81	5.6
2014	지역대분류	서남권	6	6.08	5.92
2014	지역대분류	동남권	6.12	6.31	5.93
2014	종로구	종로구	6.3	6.33	6.28
2014	중구	중구	5.9	6.02	5.78
2014	용산구	용산구	5.8	5.86	5.73
2014	성동구	성동구	6.32	6.31	6.33
2014	광진구	광진구	6.04	6.29	5.79
2014	동대문구	동대문구	5.98	6.08	5.89
2014	중랑구	중랑구	5.86	5.94	5.79
2014	성북구	성북구	6.29	6.37	6.21
2014	강북구	강북구	6.12	6.24	6
2014	도봉구	도봉구	6.05	6.17	5.93
2014	노원구	노원구	5.84	6.06	5.63
2014	은평구	은평구	5.81	5.87	5.74
2014	서대문구	서대문구	5.36	5.5	5.21
2014	마포구	마포구	5.86	5.99	5.74
2014	양천구	양천구	6.49	6.55	6.44
2014	강서구	강서구	5.66	5.78	5.55
2014	구로구	구로구	5.73	5.75	5.71
2014	금천구	금천구	5.46	5.39	5.53
2014	영등포구	영등포구	6.3	6.2	6.39
2014	동작구	동작구	6.16	6.4	5.93
2014	관악구	관악구	6.06	6.21	5.91
2014	서초구	서초구	6.58	6.76	6.4
2014	강남구	강남구	6.16	6.58	5.74
2014	송파구	송파구	6.03	6.17	5.89
2014	강동구	강동구	5.77	5.77	5.77
