기간	대분류	분류	종합	주거지역	서울도심(시내)
2013	서울시	서울시	6.47	6.6	6.35
2013	성별	남자	6.47	6.6	6.34
2013	성별	여자	6.48	6.61	6.35
2013	연령별	10대	6.6	6.65	6.55
2013	연령별	20대	6.53	6.66	6.4
2013	연령별	30대	6.37	6.52	6.23
2013	연령별	40대	6.49	6.61	6.37
2013	연령별	50대	6.59	6.7	6.47
2013	연령별	60대 이상	6.39	6.54	6.23
2013	학력별	중졸 이하	6.43	6.54	6.33
2013	학력별	고졸 이하	6.5	6.62	6.39
2013	학력별	대졸 이하	6.48	6.63	6.33
2013	학력별	대학원 이상	5.88	6.07	5.69
2013	소득별	100 만원 미만	6.39	6.44	6.33
2013	소득별	100-200만 미만	6.42	6.59	6.24
2013	소득별	200-300만 미만	6.5	6.64	6.37
2013	소득별	300-400만 미만	6.49	6.6	6.38
2013	소득별	400-500만 미만	6.45	6.58	6.32
2013	소득별	500만 이상	6.49	6.63	6.35
2013	혼인상태별	기혼	6.48	6.62	6.34
2013	혼인상태별	미혼	6.51	6.61	6.42
2013	혼인상태별	이혼/별거	6.48	6.6	6.35
2013	혼인상태별	사별	6.25	6.39	6.12
2013	지역대분류	도심권	6.04	6.23	5.85
2013	지역대분류	동북권	6.43	6.57	6.28
2013	지역대분류	서북권	6.25	6.39	6.1
2013	지역대분류	서남권	6.51	6.58	6.43
2013	지역대분류	동남권	6.74	6.91	6.57
2013	종로구	종로구	5.78	5.9	5.65
2013	중구	중구	6.57	6.72	6.41
2013	용산구	용산구	5.94	6.19	5.68
2013	성동구	성동구	6.19	6.36	6.01
2013	광진구	광진구	6.41	6.6	6.22
2013	동대문구	동대문구	6.11	6.24	5.98
2013	중랑구	중랑구	6.01	6.33	5.7
2013	성북구	성북구	7.06	7.05	7.07
2013	강북구	강북구	6.92	7.02	6.82
2013	도봉구	도봉구	6.71	6.96	6.45
2013	노원구	노원구	6.08	6.13	6.03
2013	은평구	은평구	7	7.08	6.92
2013	서대문구	서대문구	5.55	6.09	5.01
2013	마포구	마포구	5.81	5.7	5.91
2013	양천구	양천구	6.54	6.5	6.57
2013	강서구	강서구	6.32	6.34	6.3
2013	구로구	구로구	5.98	6.06	5.89
2013	금천구	금천구	6.32	6.49	6.15
2013	영등포구	영등포구	6.36	6.46	6.26
2013	동작구	동작구	6.93	7.16	6.7
2013	관악구	관악구	6.97	7.01	6.92
2013	서초구	서초구	6.97	7.1	6.85
2013	강남구	강남구	6.63	6.74	6.51
2013	송파구	송파구	6.78	7.04	6.51
2013	강동구	강동구	6.61	6.73	6.48
