기간	대분류	분류	종합	주거지역	서울도심(시내)	밤늦은 야간보행
2018	서울시	서울시	6	6.25	6.17	5.57
2018	성별	남자	6.05	6.27	6.22	5.65
2018	성별	여자	5.95	6.23	6.13	5.49
2018	연령별	10대	6.02	6.34	6.24	5.47
2018	연령별	20대	6.09	6.28	6.25	5.73
2018	연령별	30대	5.96	6.23	6.15	5.49
2018	연령별	40대	5.97	6.27	6.11	5.52
2018	연령별	50대	5.96	6.2	6.13	5.56
2018	연령별	60대 이상	6.01	6.24	6.19	5.59
2018	학력별	중졸 이하	5.91	6.18	6.11	5.43
2018	학력별	고졸 이하	5.97	6.24	6.17	5.5
2018	학력별	대졸 이하	6.03	6.26	6.19	5.65
2018	학력별	대학원 이상	6.05	6.38	6.27	5.52
2018	소득별	100 만원 미만	6.03	6.18	6.19	5.72
2018	소득별	100-200만 미만	6.08	6.35	6.26	5.64
2018	소득별	200-300만 미만	6.01	6.23	6.21	5.58
2018	소득별	300-400만 미만	5.95	6.22	6.12	5.51
2018	소득별	400-500만 미만	5.94	6.22	6.13	5.47
2018	소득별	500만 이상	6.02	6.26	6.18	5.61
2018	혼인상태별	기혼	5.97	6.25	6.14	5.53
2018	혼인상태별	미혼	6.04	6.26	6.21	5.64
2018	혼인상태별	이혼/별거	6.12	6.32	6.28	5.76
2018	혼인상태별	사별	5.95	6.18	6.18	5.48
2018	지역대분류	도심권	6.16	6.54	6.22	5.73
2018	지역대분류	동북권	5.85	6.13	6.08	5.33
2018	지역대분류	서북권	6.04	6.35	6.27	5.5
2018	지역대분류	서남권	6.03	6.16	6.24	5.7
2018	지역대분류	동남권	6.11	6.44	6.14	5.75
2018	종로구	종로구	5.66	6.13	5.97	4.88
2018	중구	중구	6.1	6.47	6.32	5.5
2018	용산구	용산구	6.56	6.86	6.35	6.47
2018	성동구	성동구	5.78	6.02	6.11	5.21
2018	광진구	광진구	5.98	6.25	6.12	5.58
2018	동대문구	동대문구	5.62	5.87	5.91	5.07
2018	중랑구	중랑구	6.11	6.48	6.24	5.62
2018	성북구	성북구	5.84	6.19	6.17	5.16
2018	강북구	강북구	5.59	6.02	5.97	4.78
2018	도봉구	도봉구	6.07	6.24	6.2	5.77
2018	노원구	노원구	5.76	5.96	5.95	5.37
2018	은평구	은평구	6.15	6.3	6.34	5.81
2018	서대문구	서대문구	5.65	5.94	5.93	5.06
2018	마포구	마포구	6.26	6.78	6.49	5.5
2018	양천구	양천구	5.95	6.25	6.15	5.45
2018	강서구	강서구	6.03	6.07	6.22	5.81
2018	구로구	구로구	6.36	6.61	6.52	5.94
2018	금천구	금천구	6.08	6.23	6.31	5.68
2018	영등포구	영등포구	5.85	5.93	6.07	5.56
2018	동작구	동작구	5.98	5.94	6.12	5.88
2018	관악구	관악구	5.99	6.12	6.29	5.56
2018	서초구	서초구	5.96	6.43	6.02	5.42
2018	강남구	강남구	5.98	6.35	5.82	5.76
2018	송파구	송파구	6.13	6.43	6.27	5.68
2018	강동구	강동구	6.41	6.58	6.46	6.18
