기간	대분류	분류	종합	주거지역	서울도심(시내)
2011	서울시	서울시	6.1	6.26	5.94
2011	성별	남자	6.09	6.25	5.92
2011	성별	여자	6.1	6.26	5.95
2011	연령별	10대	6.19	6.34	6.05
2011	연령별	20대	6.14	6.27	6.01
2011	연령별	30대	6.04	6.23	5.85
2011	연령별	40대	6.07	6.22	5.91
2011	연령별	50대	6.11	6.28	5.95
2011	연령별	60대 이상	6.09	6.24	5.94
2011	학력별	중졸 이하	6.03	6.16	5.9
2011	학력별	고졸 이하	6.09	6.24	5.95
2011	학력별	대졸 이하	6.13	6.31	5.95
2011	학력별	대학원 이상	5.8	6.03	5.58
2011	소득별	100 만원 미만	6.08	6.21	5.96
2011	소득별	100-200만 미만	5.91	6.05	5.77
2011	소득별	200-300만 미만	6.03	6.2	5.87
2011	소득별	300-400만 미만	6.08	6.22	5.95
2011	소득별	400-500만 미만	6.24	6.39	6.08
2011	소득별	500만 이상	6.12	6.32	5.92
2011	혼인상태별	기혼	6.1	6.26	5.94
2011	혼인상태별	미혼	6.12	6.27	5.98
2011	혼인상태별	이혼/별거	6.07	6.26	5.87
2011	혼인상태별	사별	5.99	6.18	5.8
2011	지역대분류	도심권	5.95	6.14	5.75
2011	지역대분류	동북권	6.1	6.22	5.98
2011	지역대분류	서북권	6.02	6.21	5.84
2011	지역대분류	서남권	6.04	6.17	5.92
2011	지역대분류	동남권	6.23	6.48	5.99
2011	종로구	종로구	5.79	5.98	5.61
2011	중구	중구	5.88	6.11	5.65
2011	용산구	용산구	6.1	6.28	5.91
2011	성동구	성동구	5.9	6	5.8
2011	광진구	광진구	6.06	6.23	5.89
2011	동대문구	동대문구	6.3	6.41	6.18
2011	중랑구	중랑구	6.16	6.31	6.01
2011	성북구	성북구	6.44	6.58	6.3
2011	강북구	강북구	5.95	6.07	5.84
2011	도봉구	도봉구	5.9	5.86	5.95
2011	노원구	노원구	6	6.18	5.82
2011	은평구	은평구	6.08	6.27	5.9
2011	서대문구	서대문구	5.97	6.12	5.81
2011	마포구	마포구	5.99	6.2	5.78
2011	양천구	양천구	6.11	6.21	6.01
2011	강서구	강서구	5.54	5.73	5.35
2011	구로구	구로구	6.21	6.31	6.11
2011	금천구	금천구	5.97	6.05	5.88
2011	영등포구	영등포구	6.22	6.21	6.23
2011	동작구	동작구	6.3	6.5	6.1
2011	관악구	관악구	6.09	6.23	5.95
2011	서초구	서초구	6.37	6.55	6.19
2011	강남구	강남구	6.47	6.81	6.14
2011	송파구	송파구	6.12	6.31	5.93
2011	강동구	강동구	5.99	6.26	5.72
