기간	대분류	분류	종합	주거지역	서울도심(시내)	밤늦은 야간보행
2015	서울시	서울시	5.92	6.12	5.92	5.72
2015	성별	남자	5.92	6.09	5.89	5.78
2015	성별	여자	5.92	6.14	5.95	5.66
2015	연령별	10대	5.93	6.07	5.96	5.76
2015	연령별	20대	5.86	6.04	5.82	5.71
2015	연령별	30대	5.83	6.01	5.8	5.68
2015	연령별	40대	5.92	6.13	5.91	5.7
2015	연령별	50대	5.95	6.18	5.9	5.76
2015	연령별	60대 이상	6.02	6.22	6.1	5.73
2015	학력별	중졸 이하	5.94	6.2	6.02	5.62
2015	학력별	고졸 이하	5.93	6.13	5.95	5.73
2015	학력별	대졸 이하	5.9	6.09	5.87	5.74
2015	학력별	대학원 이상	5.9	6.02	5.99	5.71
2015	소득별	100 만원 미만	…	…	…	…
2015	소득별	100-200만 미만	…	…	…	…
2015	소득별	200-300만 미만	…	…	…	…
2015	소득별	300-400만 미만	…	…	…	…
2015	소득별	400-500만 미만	…	…	…	…
2015	소득별	500만 이상	…	…	…	…
2015	혼인상태별	기혼	…	…	…	…
2015	혼인상태별	미혼	…	…	…	…
2015	혼인상태별	이혼/별거	…	…	…	…
2015	혼인상태별	사별	…	…	…	…
2015	지역대분류	도심권	6	6.13	6.01	5.88
2015	지역대분류	동북권	5.83	5.98	5.76	5.76
2015	지역대분류	서북권	5.8	5.97	5.86	5.57
2015	지역대분류	서남권	5.96	6.24	5.97	5.68
2015	지역대분류	동남권	6.02	6.21	6.09	5.77
2015	종로구	종로구	6	6.16	6.08	5.77
2015	중구	중구	5.93	6.06	5.97	5.78
2015	용산구	용산구	6.04	6.15	5.97	6
2015	성동구	성동구	5.55	6.02	5.91	4.73
2015	광진구	광진구	5.85	6.02	5.78	5.75
2015	동대문구	동대문구	5.88	6.07	5.75	5.82
2015	중랑구	중랑구	5.9	6.06	5.84	5.78
2015	성북구	성북구	6.04	6.02	5.78	6.31
2015	강북구	강북구	5.92	6.09	5.86	5.8
2015	도봉구	도봉구	5.79	5.88	5.68	5.81
2015	노원구	노원구	5.71	5.79	5.59	5.75
2015	은평구	은평구	5.82	5.98	5.85	5.62
2015	서대문구	서대문구	5.94	5.9	5.82	6.09
2015	마포구	마포구	5.67	6.03	5.91	5.07
2015	양천구	양천구	5.67	6.09	5.72	5.19
2015	강서구	강서구	6.05	6.26	6.03	5.86
2015	구로구	구로구	6.06	6.47	6.12	5.59
2015	금천구	금천구	5.7	6.16	5.74	5.19
2015	영등포구	영등포구	6.09	6.41	6.19	5.67
2015	동작구	동작구	6.07	6.29	6.11	5.8
2015	관악구	관악구	6.01	6.07	5.86	6.11
2015	서초구	서초구	6.15	6.24	6.14	6.08
2015	강남구	강남구	6.2	6.23	6.13	6.24
2015	송파구	송파구	5.91	6.2	6.03	5.49
2015	강동구	강동구	5.85	6.18	6.06	5.31
