기간	대분류	분류	종합	주거지역	서울도심(시내)	밤늦은 야간보행
2016	서울시	서울시	5.92	6.12	5.91	5.73
2016	성별	남자	5.96	6.12	5.91	5.84
2016	성별	여자	5.88	6.12	5.9	5.62
2016	연령별	10대	5.9	6.07	5.92	5.72
2016	연령별	20대	5.9	6.11	5.9	5.68
2016	연령별	30대	5.82	5.99	5.73	5.74
2016	연령별	40대	5.96	6.18	5.94	5.78
2016	연령별	50대	5.93	6.14	5.9	5.74
2016	연령별	60대 이상	5.98	6.19	6.03	5.7
2016	학력별	중졸 이하	5.94	6.16	6	5.66
2016	학력별	고졸 이하	5.93	6.12	5.95	5.73
2016	학력별	대졸 이하	5.91	6.11	5.87	5.74
2016	학력별	대학원 이상	5.98	6.18	5.96	5.79
2016	소득별	100 만원 미만	6	6.18	5.96	5.86
2016	소득별	100-200만 미만	5.96	6.2	6	5.68
2016	소득별	200-300만 미만	5.9	6.12	5.89	5.68
2016	소득별	300-400만 미만	5.93	6.14	5.91	5.73
2016	소득별	400-500만 미만	5.9	6.09	5.89	5.72
2016	소득별	500만 이상	5.92	6.11	5.89	5.75
2016	혼인상태별	기혼	5.92	6.12	5.9	5.74
2016	혼인상태별	미혼	5.89	6.09	5.87	5.72
2016	혼인상태별	이혼/별거	6.03	6.26	6.06	5.75
2016	혼인상태별	사별	5.94	6.18	6.01	5.61
2016	지역대분류	도심권	5.92	6.12	5.95	5.69
2016	지역대분류	동북권	5.9	6.1	5.86	5.72
2016	지역대분류	서북권	5.89	6.01	5.82	5.83
2016	지역대분류	서남권	5.91	6.16	5.92	5.64
2016	지역대분류	동남권	5.99	6.16	5.99	5.82
2016	종로구	종로구	5.97	6.15	5.98	5.77
2016	중구	중구	6.02	6.33	6.05	5.67
2016	용산구	용산구	5.82	5.97	5.86	5.64
2016	성동구	성동구	5.84	6.04	5.9	5.58
2016	광진구	광진구	6.01	6.39	6.1	5.55
2016	동대문구	동대문구	5.93	6.27	5.94	5.57
2016	중랑구	중랑구	5.87	6.02	5.79	5.8
2016	성북구	성북구	5.93	6.07	5.93	5.78
2016	강북구	강북구	6	6.11	5.85	6.03
2016	도봉구	도봉구	5.89	6.06	5.76	5.85
2016	노원구	노원구	5.76	5.96	5.69	5.64
2016	은평구	은평구	5.94	6.08	5.84	5.89
2016	서대문구	서대문구	5.79	5.86	5.67	5.84
2016	마포구	마포구	5.9	6.06	5.9	5.74
2016	양천구	양천구	5.86	6.09	5.81	5.67
2016	강서구	강서구	5.85	5.98	5.9	5.68
2016	구로구	구로구	5.94	6.16	6	5.67
2016	금천구	금천구	5.97	6.32	6.08	5.52
2016	영등포구	영등포구	5.88	6.11	5.94	5.59
2016	동작구	동작구	5.95	6.33	5.93	5.6
2016	관악구	관악구	5.95	6.28	5.9	5.67
2016	서초구	서초구	6.13	6.47	6.17	5.75
2016	강남구	강남구	5.97	6.2	5.97	5.75
2016	송파구	송파구	5.92	5.95	5.92	5.91
2016	강동구	강동구	5.96	6.11	5.94	5.85
