기간	대분류	분류	종합	주거지역	서울도심(시내)	밤늦은 야간보행
2019	서울시	서울시	6.02	6.37	6.26	5.43
2019	성별	남자	6.07	6.41	6.28	5.54
2019	성별	여자	5.97	6.34	6.24	5.32
2019	연령별	10대	5.93	6.27	6.17	5.33
2019	연령별	20대	6.02	6.36	6.28	5.43
2019	연령별	30대	5.98	6.4	6.19	5.36
2019	연령별	40대	5.96	6.33	6.18	5.35
2019	연령별	50대	5.95	6.29	6.21	5.36
2019	연령별	60대 이상	6.15	6.47	6.4	5.59
2019	학력별	중졸 이하	6.2	6.53	6.42	5.66
2019	학력별	고졸 이하	6.01	6.34	6.29	5.4
2019	학력별	대졸 이하	5.99	6.35	6.21	5.39
2019	학력별	대학원 이상	5.89	6.45	5.96	5.27
2019	소득별	100 만원 미만	6.36	6.79	6.44	5.86
2019	소득별	100-200만 미만	6.24	6.5	6.47	5.76
2019	소득별	200-300만 미만	6.15	6.48	6.42	5.56
2019	소득별	300-400만 미만	6.08	6.41	6.34	5.48
2019	소득별	400-500만 미만	5.98	6.28	6.25	5.4
2019	소득별	500만 이상	5.91	6.31	6.14	5.29
2019	혼인상태별	기혼	5.98	6.33	6.23	5.38
2019	혼인상태별	미혼	6.01	6.37	6.24	5.44
2019	혼인상태별	이혼/사별/기타	6.2	6.56	6.44	5.61
2019	지역대분류	도심권	6.1	6.43	6.34	5.51
2019	지역대분류	동북권	5.89	6.31	6.08	5.27
2019	지역대분류	서북권	6.11	6.38	6.44	5.52
2019	지역대분류	서남권	6	6.32	6.26	5.43
2019	지역대분류	동남권	6.17	6.54	6.4	5.58
2019	종로구	종로구	5.91	6.49	6.16	5.09
2019	중구	중구	6.13	6.42	6.44	5.51
2019	용산구	용산구	6.21	6.39	6.42	5.82
2019	성동구	성동구	6.13	6.55	6.22	5.62
2019	광진구	광진구	6.21	6.56	6.77	5.3
2019	동대문구	동대문구	5.55	6.08	5.63	4.94
2019	중랑구	중랑구	6.11	6.4	6.45	5.48
2019	성북구	성북구	5.5	6.06	5.55	4.88
2019	강북구	강북구	5.58	6.12	5.56	5.05
2019	도봉구	도봉구	6.33	6.55	6.47	5.97
2019	노원구	노원구	5.82	6.26	6.08	5.12
2019	은평구	은평구	5.8	6.22	6.18	5
2019	서대문구	서대문구	6.25	6.37	6.52	5.88
2019	마포구	마포구	6.39	6.58	6.72	5.87
2019	양천구	양천구	5.75	6.24	5.77	5.25
2019	강서구	강서구	6.24	6.4	6.65	5.68
2019	구로구	구로구	6.12	6.48	6.42	5.46
2019	금천구	금천구	5.95	6.01	6.22	5.63
2019	영등포구	영등포구	5.58	6.17	5.66	4.9
2019	동작구	동작구	6.23	6.49	6.44	5.76
2019	관악구	관악구	6	6.28	6.39	5.32
2019	서초구	서초구	6.21	6.7	6.36	5.57
2019	강남구	강남구	6.19	6.54	6.45	5.57
2019	송파구	송파구	6.43	6.74	6.62	5.94
2019	강동구	강동구	5.72	6.06	6.03	5.06
